subject_id,group,order,position,condition,sus_overall,sus_learnability,affordance,agency,control,pleasure,aesthetic_fit
P1,producer,GHC,1,Graft,,,,,,,
P1,producer,GHC,2,Hybridize,,,,,,,
P1,producer,GHC,3,Cultivate,,,,,,,
P2,producer,HCG,1,Hybridize,,,,,,,
P2,producer,HCG,2,Cultivate,,,,,,,
P2,producer,HCG,3,Graft,,,,,,,
P3,producer,CGH,1,Cultivate,,,,,,,
P3,producer,CGH,2,Graft,,,,,,,
P3,producer,CGH,3,Hybridize,,,,,,,
P4,producer,GHC,1,Graft,,,,,,,
P4,producer,GHC,2,Hybridize,,,,,,,
P4,producer,GHC,3,Cultivate,,,,,,,
P5,producer,HCG,1,Hybridize,,,,,,,
P5,producer,HCG,2,Cultivate,,,,,,,
P5,producer,HCG,3,Graft,,,,,,,
P6,producer,CGH,1,Cultivate,,,,,,,
P6,producer,CGH,2,Graft,,,,,,,
P6,producer,CGH,3,Hybridize,,,,,,,
P7,researcher,GHC,1,Graft,,,,,,,
P7,researcher,GHC,2,Hybridize,,,,,,,
P7,researcher,GHC,3,Cultivate,,,,,,,
P8,researcher,HCG,1,Hybridize,,,,,,,
P8,researcher,HCG,2,Cultivate,,,,,,,
P8,researcher,HCG,3,Graft,,,,,,,
P9,researcher,CGH,1,Cultivate,,,,,,,
P9,researcher,CGH,2,Graft,,,,,,,
P9,researcher,CGH,3,Hybridize,,,,,,,
P10,researcher,GHC,1,Graft,,,,,,,
P10,researcher,GHC,2,Hybridize,,,,,,,
P10,researcher,GHC,3,Cultivate,,,,,,,
P11,researcher,HCG,1,Hybridize,,,,,,,
P11,researcher,HCG,2,Cultivate,,,,,,,
P11,researcher,HCG,3,Graft,,,,,,,
P12,researcher,CGH,1,Cultivate,,,,,,,
P12,researcher,CGH,2,Graft,,,,,,,
P12,researcher,CGH,3,Hybridize,,,,,,,
P1,producer,,,RAVE_bare,,,,,,,
P1,producer,,,AudioLDM_t2a,,,,,,,
P3,producer,,,RAVE_bare,,,,,,,
P3,producer,,,AudioLDM_t2a,,,,,,,
P5,producer,,,RAVE_bare,,,,,,,
P5,producer,,,AudioLDM_t2a,,,,,,,
P7,researcher,,,RAVE_bare,,,,,,,
P7,researcher,,,AudioLDM_t2a,,,,,,,
P9,researcher,,,RAVE_bare,,,,,,,
P9,researcher,,,AudioLDM_t2a,,,,,,,
P11,researcher,,,RAVE_bare,,,,,,,
P11,researcher,,,AudioLDM_t2a,,,,,,,
